,id,type,commentscount,likescount,ig_timestamp,videoviewcount,videoplaycount,videoduration,row_index,hashtag_index,index_num,hashtag
57,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,57,57,57,ExpandOpportunity
58,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,58,107,107,ExpandOpportunity
59,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,59,133,133,ExpandOpportunity
60,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,60,152,152,ExpandOpportunity
61,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,61,176,176,ExpandOpportunity
62,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,62,195,195,ExpandOpportunity
63,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,63,203,203,ExpandOpportunity
64,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,64,209,209,ExpandOpportunity
65,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,65,219,219,ExpandOpportunity
66,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,66,224,224,ExpandOpportunity
67,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,67,231,231,ExpandOpportunity
68,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,68,239,239,ExpandOpportunity
69,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,69,246,246,ExpandOpportunity
70,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,70,251,251,ExpandOpportunity
71,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,71,255,255,ExpandOpportunity
72,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,72,266,266,ExpandOpportunity
73,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,73,277,277,ExpandOpportunity
74,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,74,292,292,ExpandOpportunity
75,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,75,306,306,ExpandOpportunity
76,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,76,316,316,ExpandOpportunity
77,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,77,339,339,ExpandOpportunity
78,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,78,358,358,ExpandOpportunity
79,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,79,369,369,ExpandOpportunity
80,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,80,375,375,ExpandOpportunity
81,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,81,383,383,ExpandOpportunity
82,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,82,389,389,ExpandOpportunity
83,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,83,395,395,ExpandOpportunity
84,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,84,409,409,ExpandOpportunity
85,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,85,414,414,ExpandOpportunity
86,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,86,421,421,ExpandOpportunity
87,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,87,435,435,ExpandOpportunity
88,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,88,440,440,ExpandOpportunity
89,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,89,447,447,ExpandOpportunity
90,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,90,456,456,ExpandOpportunity
91,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,91,464,464,ExpandOpportunity
92,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,92,475,475,ExpandOpportunity
93,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,93,486,486,ExpandOpportunity
94,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,94,500,500,ExpandOpportunity
95,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,95,511,511,ExpandOpportunity
96,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,96,520,520,ExpandOpportunity
97,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,97,533,533,ExpandOpportunity
98,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,98,542,542,ExpandOpportunity
99,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,99,550,550,ExpandOpportunity
100,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,100,560,560,ExpandOpportunity
101,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,101,570,570,ExpandOpportunity
102,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,102,577,577,ExpandOpportunity
103,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,103,602,602,ExpandOpportunity
104,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,104,606,606,ExpandOpportunity
105,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,105,625,625,ExpandOpportunity
106,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,106,629,629,ExpandOpportunity
107,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,107,638,638,ExpandOpportunity
108,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,108,656,656,ExpandOpportunity
109,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,109,670,670,ExpandOpportunity
110,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,110,717,717,ExpandOpportunity
111,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,111,732,732,ExpandOpportunity
112,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,112,735,735,ExpandOpportunity
113,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,113,741,741,ExpandOpportunity
114,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,114,755,755,ExpandOpportunity
115,3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40,,,,115,760,760,ExpandOpportunity
