,id,type,commentscount,likescount,ig_timestamp,videoviewcount,videoplaycount,videoduration,index,hashtag_index,index_num,hashtag
59,3.0642728956182953e+18,Image,3.0,45.0,2023-03-22 18:30:19,,,,59,54,54,techprogram
60,3.0642728956182953e+18,Image,3.0,45.0,2023-03-22 18:30:19,,,,60,20,20,coding
61,3.0642728956182953e+18,Image,3.0,45.0,2023-03-22 18:30:19,,,,61,55,55,bronx
62,3.0642728956182953e+18,Image,3.0,45.0,2023-03-22 18:30:19,,,,62,56,56,la
63,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,63,57,57,innovation
64,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,64,31,31,webdevelopment
65,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,65,58,58,meetthetalent
66,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,66,59,59,studentspotlight
67,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,67,60,60,spotlight
68,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,68,61,61,webdeveloper
69,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,69,20,20,coding
70,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,70,62,62,programming
71,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,71,63,63,javascript
72,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,72,64,64,programmer
73,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,73,32,32,developer
74,3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55,,,,74,65,65,coder
75,3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14,,,,75,66,66,openhouses
76,3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14,,,,76,50,50,newyork
77,3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14,,,,77,67,67,altanta
78,3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14,,,,78,53,53,losangeles
79,3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14,,,,79,52,52,newark
80,3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14,,,,80,68,68,nycevents
81,3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14,,,,81,56,56,la
82,3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14,,,,82,69,69,laevents
83,3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14,,,,83,70,70,recruitment
