,Date,User,Tweet,Likes,Comments,Retweets,Views
18,2023-03-15 18:07:10+00:00,TheKnowledgeHou,"Happy #WomenCrushWednesday! Innovative queen Angela Guzman put her creativity to the test and changed the IM experience for users around the world. Read about her journey here: https://t.co/QSU8LxUGMh

#WHM #WomensHistoryMonth #POC #WomeninTech #Apple #Emoji #UXUI #GraphicDesign https://t.co/rpC8Clcxiu",1,0,0,828.0
19,2023-03-14 17:20:19+00:00,TheKnowledgeHou,"This weekend our staff had the privilege to attend the Women’s conference at Cerritos College and it was an awesome event! Thank you so much @cerritoscollege for hosting!

#ExpandOpportunity #LA #LAEvents #WHM #Conference https://t.co/vOJfBvO2uW",2,0,0,46.0
20,2023-03-13 19:12:07+00:00,TheKnowledgeHou,"It's here and it's weekly! Join us for a #DayintheLife: Working in #WebDevelopment with Jahaziel Israel, a TKH #Alumni working as a #TechnicalProjectManager, Thursday, March 16th at 7pm. 

RSVP! https://t.co/5B8lZd7hdR 

#Tech #TechEvents #TechJobs #Workshops #WebDev https://t.co/a3g1xBNRLN",1,0,0,44.0
21,2023-03-09 17:02:12+00:00,TheKnowledgeHou,"Rigoberto Obregón for the win! Shout out to our #LA Fellows in the #DataScience track. 

""As a #computerscience professional, I want to retake my path by working on software development, databases, and business intelligence projects."" 

#tech #StudentSpotlight #spotlight #SQL https://t.co/0ybwiSHd5o",2,0,0,39.0
22,2023-03-08 17:02:36+00:00,TheKnowledgeHou,"Behind every successful woman is a tribe of other successful women who have her back.

Happy International Women’s Day, today and everyday.

#ExpandOpportunity #womensday #womensday2023 #internationalwomensday #WHM #WomensHistoryMonth #POC https://t.co/z6GcR1tY89",2,0,1,36.0
23,2023-03-06 22:21:28+00:00,TheKnowledgeHou,"We're excited to present our first #DayInTheLife virtual session exploring our #DataScience track! Join us w/ Janet Perez, a TKH #Alumni working as a #SoftwareEngineer, Thursday, March 9th at 7pm.

https://t.co/wngY0CXqpx

#ExpandOpportunity #Tech #TechEvents #TechJobs https://t.co/pllJSSeVPu",1,0,0,22.0
24,2023-03-01 20:30:29+00:00,TheKnowledgeHou,"Making a decision on the right #college can be difficult. Making sure to establish a framework can help you arrive at a sound decision &amp; eliminate pressure in the decision-making process.

RSVP: https://t.co/aPLYoBeNxP

#ExpandOpportunity #TechWorkshop #CareerChange #CollegPlans https://t.co/4yWKTsvU0I",1,0,0,40.0
25,2023-03-01 17:02:25+00:00,TheKnowledgeHou,"Meet Emilie Dionisio! She's a passionate #CyberSecurity Fellow from #NYC.

""My passion lies in network security and incident response, and I am eager to tackle real-world challenges as I progress in my career.""

#ExpandOpportunity #StudentSpotlight #Innovation #WHM https://t.co/uXE72S3A7U",3,0,0,108.0
26,2023-02-28 20:55:11+00:00,TheKnowledgeHou,"There are many ways to celebrate #BlackHistoryMonth.  
In honor of #BHM, we’re highlighting some of the most influential #Blackleaders in #tech from history—and a few from today. 

Did we miss someone? Let us know!

#ExpandOpportunity #nonprofit #POC #techindustry https://t.co/0KADaAwdju",2,0,1,109.0
27,2023-02-24 23:59:04+00:00,TheKnowledgeHou,"Let's show some love for our #DataScience Fellows! Introducing Ezequiel Esparza from #NYC.

""The thing I love most about data is that there is not one correct answer, so creativity shines in the code.""

#ExpandOpportunity #MeetTheTalent #StudentSpotlight #Innovation https://t.co/xPhw6BLw1m",1,0,0,63.0
28,2023-02-23 22:07:18+00:00,TheKnowledgeHou,"What word do you think when we say TKH? Comment down below 💜🤗

#ThinkingThursdays #TKHMoments #ExpandOpportunity https://t.co/JviDmNcwQV",1,0,0,50.0
29,2023-02-22 19:01:45+00:00,TheKnowledgeHou,"Shoutout to our Chief of Staff, Isabelle Kallman!

Isabelle has been with us for almost 2 years and has held down the fort with #grace, #patience, and clarity. 

Give a round of 👏 for Isabelle! Thank you for your work!

#ExpandOpportunity #tech #POC #StaffSpotlight #team https://t.co/cnwOA7Wu0M",1,0,0,65.0
30,2023-02-21 19:15:14+00:00,TheKnowledgeHou,"It's worth repeating. Be kind to yourself and be kind to your work. Success takes time.

#ExpandOpportunity #TKHmoments #successmindset #worklife #healthyworking #worklifebalance #TuesdayTips #tipoftheday https://t.co/kDj2pcYsxv",0,0,0,61.0
31,2023-02-14 22:21:32+00:00,TheKnowledgeHou,Westchester needs to invest in a more equitable workforce! https://t.co/YUO9ML52hC,2,0,0,65.0
32,2023-02-14 21:15:14+00:00,TheKnowledgeHou,"Sending lots of love to our #UXUI Fellows! Today we're #spotlighting Cassandra, Francesca, &amp; Nolina for their impressive teamwork.

#ExpandOpportunity #StudentSpotlight #TechSpotlights #Tech https://t.co/IAxZztOqrZ",2,0,0,105.0
33,2023-02-13 21:00:21+00:00,TheKnowledgeHou,"To gear up for this year, TKH had an amazing #retreat in upstate NY. We are so excited for what’s to come in the future!

#funwithcolleagues #staffretreat #backtonature #staycation #teamspiritbuilding https://t.co/vKjdjO9jrP",1,0,0,77.0
34,2023-02-11 17:01:22+00:00,TheKnowledgeHou,"Meet our #TechTalent! This is Rafael Lopez, an up-and-coming #innovator on our #WebDevelopment Track based here in #NYC.

Recently, Rafael has performed research to use new #technologies for his programming journey. Congrats!

#ExpandOpportunity #StudentSpotlight #Tech https://t.co/78k1dYAtbV",1,0,0,70.0
35,2023-02-06 21:17:28+00:00,TheKnowledgeHou,"#BlackHistoryMonth at The Knowledge House is about celebrating #resilience, #innovation, and the determination of a population who have been integral to building the workforce in this country.

#ExpandOpportunity #nonprofit #BHM #inclusive #technology https://t.co/D4mpwXNqi2",1,0,0,56.0
36,2023-01-28 19:10:12+00:00,TheKnowledgeHou,"As we think of #dataprivacyday, we encourage new and innovative ways to protect the data of internet surfers and are excited to empower the next generation of #digitalprivacy #technologists.

Applications are opening soon!

#ExpandOpportunity #dataprivacy #CyberSecurity #tech https://t.co/u3kO6fOg1o",1,0,1,74.0
37,2023-01-26 16:11:54+00:00,TheKnowledgeHou,"#Day 2 of #Retreat ! 

#team #coffeetime #NonProfit #teambuilding #TKHMoments #morningcoffee https://t.co/ANE3AKVI41",1,0,0,50.0
38,2023-01-25 20:45:02+00:00,TheKnowledgeHou,"#Day1 of #Retreat ! 

#team #goldenhour #NonProfit #teambuilding #TKHMoments https://t.co/aqlnREOA0c",1,0,0,49.0
39,2023-01-24 19:05:12+00:00,TheKnowledgeHou,"TKH has created V.I.P (The #Volunteer Impact Program) for volunteers and partners to help grow &amp; empower an underrepresented population of talent looking to begin careers in #tech. 
Interested? https://t.co/hr4Y685AKx
#VolunteerOpportunities #NonProfit #Mentorship #MockInterviews https://t.co/IOHlaa1NAy",1,0,0,43.0
40,2023-01-23 18:00:35+00:00,TheKnowledgeHou,"Our Fellowship Campaign was a resounding success, and we exceeded our goal! As we gear up for recruitment season, we are excited and ready to reach more young people from #NewYorkCity, #Newark, #LosAngeles, and #Atlanta.

#ExpandOpportunity #Tech #Techjobs #Bronx https://t.co/aAr7oiT5Mt",1,0,0,88.0
41,2023-01-19 19:05:13+00:00,TheKnowledgeHou,"Looking for potential #apprenticeships this year? Here are the top 10 # tech-related jobs you can either apply for or look into today.

#ExpandOpportunity #career #work #jobs #hiring #TechJobs #Google #Amazon #Airbnb #Linkedin #Lyft https://t.co/Y6zf4KEXmq",1,0,1,150.0
42,2023-01-17 18:03:09+00:00,TheKnowledgeHou,"@NYCC4H is having a free #healthfair every 2nd and 4th Tuesday through June at The Knowledge House. Join us on January 24th for the next one.

#HIVTesting #healthcheck #nyc #bronx #community #latinx https://t.co/FmNNokdNBH",0,0,0,9.0
43,2023-01-16 18:03:16+00:00,TheKnowledgeHou,"TKH’s mission to empower Black and Brown folks into tech careers aligns with his goals of eradicating poverty in our communities, and we build on the foundation and tenets of the civil rights leaders of yesterday and today.

#mlk #martinluther #MartinLutherKing #ExpandOpportunity https://t.co/vVfwU5eGBO",2,0,0,90.0
44,2023-01-12 20:45:15+00:00,TheKnowledgeHou,"#ThrowbackThursday to when Alex Ortiz, one of our #KKCFATL Fellows, did an impressively produced video about what he thought of our program. You went above and beyond and killed it!

https://t.co/z73Qf6iPko

#ExpandOpportunity #ATL #TKHATL #TechinATL",1,0,0,114.0
45,2023-01-11 21:11:28+00:00,TheKnowledgeHou,@DIYGirls ❤️❤️❤️,0,0,0,9.0
46,2023-01-11 18:10:10+00:00,TheKnowledgeHou,"Thank you, @DIYGirls for your interest in exposing young women in #LA to tech! We are building a relationship that will allow us to support a #commandshift to double the percentage of women in tech by 2030.

#ExpandOpportunity #Tech #TechPrograms #DinnerParty https://t.co/4ikRXluHJN",2,0,0,305.0
47,2023-01-10 18:00:21+00:00,TheKnowledgeHou,"There's nothing like talking to a #Fellow about #FutureOpportunites, just to realize you've been on mute the whole time.

#TuesdayThoughts #relatabletweets #TechTuesday #Zoom #TKHMoments https://t.co/f2VRs3KIvH",1,0,0,73.0
48,2023-01-06 18:03:01+00:00,TheKnowledgeHou,"Heart this post if you can use a nice cup of ☕ and a yummy 🍩right now.

#TKHMoments #OfficeThoughts #HotChocolate https://t.co/MnwcRDYjUK",0,0,0,83.0
49,2023-01-03 18:02:31+00:00,TheKnowledgeHou,"We’ll be opening up w/ a new workshop,“Navigating Early #College Years,” where you can get insights from current #collegestudents on how they have navigated their #collegeexperience.

https://t.co/aPLYoBeNxP

#ExpandOpportunity #highschool #Highschoolworkshops #2023Goals #NewYear https://t.co/8rzwvzstP0",0,0,0,116.0
50,2023-01-01 18:00:29+00:00,TheKnowledgeHou,"Goodbye 2022, Hello 2023!

#ExpandOpportunity #NewYears #NewYearsEve #2023Tech #NewInnovation https://t.co/Qcvw8VQjUT",0,0,0,50.0
51,2022-12-31 19:01:13+00:00,TheKnowledgeHou,"We are so grateful for all the love and success in 2022. Here’s to the next 12 months 🥂. 
https://t.co/M1iQfGYx3z
#2022Recap #2022 #NewYear #TKHMoments",0,0,0,54.0
52,2022-12-30 18:02:47+00:00,TheKnowledgeHou,"We cannot thank our stakeholders enough for laying the foundation for our expansion sites. Through our new partnerships and sponsorships, and the continued introductions within these communities, we are gearing up for a great recruitment season!

#Newark #LosAngeles #Atlanta https://t.co/77L625f69S",0,0,0,48.0
53,2022-12-29 18:03:10+00:00,TheKnowledgeHou,"To our wonderful staff, thank you for working tirelessly to #ExpandOpportunity for our Fellows. We look forward to bringing more access to the tech sector and are ready to make a wider impact in our expansion sites in 2023.

#Newark #LosAngeles #Atlanta #NewYork #HappyHolidays https://t.co/qNzEdGsnUW",2,0,0,92.0
54,2022-12-28 18:03:02+00:00,TheKnowledgeHou,"Our Board Members are crucial to the sustainability and growth of our organization. The Knowledge House wishes you the happiest of holidays and are grateful for your dedication to our work and mission.

#ExpandOpportunity #Newark #LosAngeles #Atlanta #TistheSeason https://t.co/yFtAiGCwgT",0,0,0,70.0
55,2022-12-27 19:01:18+00:00,TheKnowledgeHou,"Over 50% of students admitted to our programs didn't have a laptop/wifi access to learn. Lend your time &amp; investment to give Fellows the wraparound support they need to be successful.
https://t.co/qwjgeClTvZ
#ExpandOpportunity #coding #NJtech #POC #TechIndustry #BlackTech #Newark",0,0,0,107.0
