index,id,hashtag_index
0,3.075854765464166e+18,0
1,3.075854765464166e+18,1
2,3.075854765464166e+18,2
3,3.075854765464166e+18,3
4,3.075854765464166e+18,4
5,3.075854765464166e+18,5
6,3.075854765464166e+18,6
7,3.075854765464166e+18,7
8,3.075854765464166e+18,8
9,3.075854765464166e+18,9
10,3.075854765464166e+18,10
11,3.075854765464166e+18,11
12,3.070078623458052e+18,12
13,3.070078623458052e+18,13
14,3.070078623458052e+18,14
15,3.070078623458052e+18,15
16,3.070078623458052e+18,16
17,3.070078623458052e+18,17
18,3.070078623458052e+18,18
19,3.070078623458052e+18,19
20,3.070078623458052e+18,20
21,3.070078623458052e+18,21
22,3.070078623458052e+18,22
23,3.0787400049486223e+18,23
24,3.0787400049486223e+18,24
25,3.0787400049486223e+18,25
26,3.0787400049486223e+18,26
27,3.0787400049486223e+18,27
28,3.0787400049486223e+18,28
29,3.0787400049486223e+18,29
30,3.073725354955596e+18,29
31,3.073725354955596e+18,30
32,3.073725354955596e+18,31
33,3.073725354955596e+18,32
34,3.073725354955596e+18,33
35,3.073725354955596e+18,0
36,3.073725354955596e+18,34
37,3.073725354955596e+18,35
38,3.073725354955596e+18,36
39,3.073725354955596e+18,37
40,3.073725354955596e+18,38
41,3.073725354955596e+18,7
42,3.073725354955596e+18,39
43,3.06935386837853e+18,40
44,3.06935386837853e+18,41
45,3.06935386837853e+18,42
46,3.06935386837853e+18,43
47,3.06935386837853e+18,44
48,3.06935386837853e+18,45
49,3.06935386837853e+18,46
50,3.06935386837853e+18,47
51,3.0642728956182953e+18,48
52,3.0642728956182953e+18,49
53,3.0642728956182953e+18,50
54,3.0642728956182953e+18,51
55,3.0642728956182953e+18,52
56,3.0642728956182953e+18,53
57,3.0642728956182953e+18,8
58,3.0642728956182953e+18,0
59,3.0642728956182953e+18,54
60,3.0642728956182953e+18,20
61,3.0642728956182953e+18,55
62,3.0642728956182953e+18,56
63,3.0744054642562074e+18,57
64,3.0744054642562074e+18,31
65,3.0744054642562074e+18,58
66,3.0744054642562074e+18,59
67,3.0744054642562074e+18,60
68,3.0744054642562074e+18,61
69,3.0744054642562074e+18,20
70,3.0744054642562074e+18,62
71,3.0744054642562074e+18,63
72,3.0744054642562074e+18,64
73,3.0744054642562074e+18,32
74,3.0744054642562074e+18,65
75,3.0729852890316785e+18,66
76,3.0729852890316785e+18,50
77,3.0729852890316785e+18,67
78,3.0729852890316785e+18,53
79,3.0729852890316785e+18,52
80,3.0729852890316785e+18,68
81,3.0729852890316785e+18,56
82,3.0729852890316785e+18,69
83,3.0729852890316785e+18,70
84,3.0729852890316785e+18,71
85,3.0729852890316785e+18,72
86,3.068624057100992e+18,73
87,3.068624057100992e+18,74
88,3.068624057100992e+18,75
89,3.068624057100992e+18,76
90,3.068624057100992e+18,77
91,3.068624057100992e+18,58
92,3.068624057100992e+18,59
93,3.068624057100992e+18,60
94,3.068624057100992e+18,78
95,3.068624057100992e+18,0
96,3.068624057100992e+18,79
97,3.0750777407687327e+18,13
98,3.0750777407687327e+18,6
99,3.0750777407687327e+18,80
100,3.0750777407687327e+18,81
101,3.0750777407687327e+18,82
102,3.0750777407687327e+18,2
103,3.0750777407687327e+18,83
104,3.0750777407687327e+18,84
105,3.0750777407687327e+18,85
106,3.0750777407687327e+18,86
107,3.065732963795675e+18,8
108,3.065732963795675e+18,87
109,3.065732963795675e+18,0
110,3.065732963795675e+18,53
111,3.0649294883753124e+18,58
112,3.0649294883753124e+18,88
113,3.0649294883753124e+18,0
114,3.0649294883753124e+18,89
115,3.0649294883753124e+18,90
116,3.0649294883753124e+18,59
117,3.0649294883753124e+18,57
118,3.0649294883753124e+18,91
119,3.064197708273725e+18,44
120,3.064197708273725e+18,92
121,3.064197708273725e+18,0
122,3.064197708273725e+18,40
123,3.064197708273725e+18,45
124,3.064197708273725e+18,46
125,3.064197708273725e+18,47
126,3.064197708273725e+18,93
127,3.064197708273725e+18,94
128,3.064197708273725e+18,95
129,3.067944552673209e+18,71
130,3.067944552673209e+18,90
131,3.067944552673209e+18,30
132,3.067944552673209e+18,96
133,3.067944552673209e+18,8
134,3.067944552673209e+18,0
135,3.067944552673209e+18,97
136,3.067944552673209e+18,98
137,3.067944552673209e+18,7
138,3.0605944280628803e+18,99
139,3.0605944280628803e+18,100
140,3.0605944280628803e+18,70
141,3.0605944280628803e+18,101
142,3.0605944280628803e+18,102
143,3.0605944280628803e+18,103
144,3.0605944280628803e+18,104
145,3.0605944280628803e+18,105
146,3.0605944280628803e+18,106
147,3.0605944280628803e+18,107
148,3.06344258199652e+18,108
149,3.06344258199652e+18,109
150,3.06344258199652e+18,30
151,3.06344258199652e+18,96
152,3.06344258199652e+18,8
153,3.06344258199652e+18,0
154,3.06344258199652e+18,97
155,3.06344258199652e+18,98
156,3.06344258199652e+18,7
157,3.06344258199652e+18,110
158,3.06344258199652e+18,111
159,3.062820999272257e+18,112
160,3.062820999272257e+18,113
161,3.062820999272257e+18,114
162,3.062820999272257e+18,115
163,3.062820999272257e+18,116
164,3.062820999272257e+18,117
165,3.062820999272257e+18,71
166,3.062820999272257e+18,118
167,3.0591877011908106e+18,40
168,3.0591877011908106e+18,45
169,3.0591877011908106e+18,44
170,3.0591877011908106e+18,46
171,3.0591877011908106e+18,47
172,3.0591877011908106e+18,119
173,3.0591877011908106e+18,120
174,3.0591877011908106e+18,108
175,3.0591877011908106e+18,121
176,3.0584394272575124e+18,8
177,3.0584394272575124e+18,56
178,3.0584394272575124e+18,69
179,3.0584394272575124e+18,45
180,3.0584394272575124e+18,122
181,3.0606953481512837e+18,6
182,3.0606953481512837e+18,80
183,3.0606953481512837e+18,81
184,3.0606953481512837e+18,82
185,3.0606953481512837e+18,2
186,3.0606953481512837e+18,83
187,3.0606953481512837e+18,84
188,3.0606953481512837e+18,85
189,3.0606953481512837e+18,13
190,3.0606953481512837e+18,86
191,3.0527928693038956e+18,30
192,3.0527928693038956e+18,73
193,3.0527928693038956e+18,123
194,3.0527928693038956e+18,124
195,3.0527928693038956e+18,8
196,3.0527928693038956e+18,0
197,3.0527928693038956e+18,97
198,3.0527928693038956e+18,98
199,3.057770985323925e+18,30
200,3.057770985323925e+18,31
201,3.057770985323925e+18,123
202,3.057770985323925e+18,125
203,3.057770985323925e+18,8
204,3.057770985323925e+18,0
205,3.057770985323925e+18,97
206,3.057770985323925e+18,98
207,3.057770985323925e+18,7
208,3.057770985323925e+18,126
209,3.0540811942207386e+18,8
210,3.0540811942207386e+18,127
211,3.0540811942207386e+18,127
212,3.0540811942207386e+18,128
213,3.0540811942207386e+18,45
214,3.0540811942207386e+18,44
215,3.0540811942207386e+18,46
216,3.0490077273518674e+18,90
217,3.0490077273518674e+18,26
218,3.0490077273518674e+18,129
219,3.0490077273518674e+18,8
220,3.0490077273518674e+18,58
221,3.0490077273518674e+18,59
222,3.0490077273518674e+18,57
223,3.0490077273518674e+18,45
224,3.049113076121826e+18,8
225,3.049113076121826e+18,130
226,3.049113076121826e+18,131
227,3.049113076121826e+18,132
228,3.049113076121826e+18,133
229,3.038264008495789e+18,108
230,3.038264008495789e+18,134
231,3.038264008495789e+18,8
232,3.038264008495789e+18,59
233,3.038264008495789e+18,79
234,3.038264008495789e+18,0
235,3.038264008495789e+18,135
236,3.038264008495789e+18,136
237,3.044813067347564e+18,137
238,3.044813067347564e+18,138
239,3.044813067347564e+18,8
240,3.048401012914315e+18,139
241,3.048401012914315e+18,140
242,3.048401012914315e+18,4
243,3.048401012914315e+18,141
244,3.048401012914315e+18,142
245,3.048401012914315e+18,0
246,3.048401012914315e+18,8
247,3.048401012914315e+18,117
248,3.048401012914315e+18,46
249,3.0453834912060897e+18,73
250,3.0453834912060897e+18,26
251,3.0453834912060897e+18,8
252,3.0453834912060897e+18,58
253,3.0453834912060897e+18,59
254,3.0453834912060897e+18,57
255,3.0432770157212723e+18,8
256,3.0432770157212723e+18,138
257,3.0432770157212723e+18,143
258,3.0432770157212723e+18,144
259,3.0432770157212723e+18,145
260,3.0432770157212723e+18,146
261,3.0432770157212723e+18,147
262,3.0432770157212723e+18,148
263,3.054805890418774e+18,56
264,3.054805890418774e+18,73
265,3.054805890418774e+18,149
266,3.054805890418774e+18,8
267,3.054805890418774e+18,0
268,3.054805890418774e+18,59
269,3.054805890418774e+18,58
270,3.054805890418774e+18,60
271,3.054805890418774e+18,75
272,3.043994373110653e+18,150
273,3.043994373110653e+18,151
274,3.043994373110653e+18,152
275,3.043994373110653e+18,112
276,3.043994373110653e+18,153
277,3.043994373110653e+18,8
278,3.043994373110653e+18,0
279,3.043994373110653e+18,46
280,3.043994373110653e+18,104
281,3.0375322925669985e+18,153
282,3.0375322925669985e+18,154
283,3.0375322925669985e+18,155
284,3.0375322925669985e+18,156
285,3.0375322925669985e+18,157
286,3.0375322925669985e+18,158
287,3.025879898988054e+18,90
288,3.025879898988054e+18,0
289,3.025879898988054e+18,159
290,3.025879898988054e+18,160
291,3.025879898988054e+18,161
292,3.025879898988054e+18,8
293,3.025879898988054e+18,162
294,3.0324669383782886e+18,139
295,3.0324669383782886e+18,163
296,3.0324669383782886e+18,57
297,3.0324669383782886e+18,164
298,3.0324669383782886e+18,8
299,3.0324669383782886e+18,5
300,3.0324669383782886e+18,117
301,3.0324669383782886e+18,141
302,3.0359613731293865e+18,165
303,3.0359613731293865e+18,166
304,3.0359613731293865e+18,31
305,3.0359613731293865e+18,26
306,3.0359613731293865e+18,8
307,3.0359613731293865e+18,59
308,3.0359613731293865e+18,79
309,3.0359613731293865e+18,0
310,3.0222211595337523e+18,161
311,3.0222211595337523e+18,167
312,3.0222211595337523e+18,168
313,3.0222211595337523e+18,52
314,3.0222211595337523e+18,53
315,3.0222211595337523e+18,51
316,3.0222211595337523e+18,8
317,3.0222211595337523e+18,0
318,3.0222211595337523e+18,98
319,3.0222211595337523e+18,55
320,3.0222211595337523e+18,71
321,3.0243266415060413e+18,169
322,3.0243266415060413e+18,153
323,3.0243266415060413e+18,112
324,3.0243266415060413e+18,170
325,3.0243266415060413e+18,117
326,3.0243266415060413e+18,171
327,3.0243266415060413e+18,138
328,3.0243266415060413e+18,172
329,3.0127987740535675e+18,96
330,3.0127987740535675e+18,173
331,3.0127987740535675e+18,174
332,3.0127987740535675e+18,175
333,3.0127987740535675e+18,29
334,3.0127987740535675e+18,176
335,3.0127987740535675e+18,138
336,3.017148077919987e+18,177
337,3.017148077919987e+18,178
338,3.017148077919987e+18,179
339,3.017148077919987e+18,8
340,3.01787226129824e+18,180
341,3.01787226129824e+18,181
342,3.01787226129824e+18,182
343,3.01787226129824e+18,26
344,3.01787226129824e+18,55
345,3.01787226129824e+18,183
346,3.01787226129824e+18,184
347,3.023729951506133e+18,169
348,3.023729951506133e+18,153
349,3.023729951506133e+18,112
350,3.023729951506133e+18,185
351,3.023729951506133e+18,117
352,3.023729951506133e+18,171
353,3.023729951506133e+18,138
354,3.0077254963811517e+18,17
355,3.0077254963811517e+18,131
356,3.0077254963811517e+18,186
357,3.0077254963811517e+18,187
358,3.0077254963811517e+18,8
359,3.0077254963811517e+18,49
360,3.0077254963811517e+18,188
361,3.0077254963811517e+18,189
362,3.0077254963811517e+18,190
363,3.0098999695283205e+18,138
364,3.0098999695283205e+18,191
365,3.0098999695283205e+18,192
366,3.0135284864308823e+18,56
367,3.0135284864308823e+18,193
368,3.0135284864308823e+18,194
369,3.0135284864308823e+18,8
370,3.0135284864308823e+18,0
371,3.0135284864308823e+18,195
372,3.0135284864308823e+18,196
373,3.014372143987132e+18,197
374,3.014372143987132e+18,198
375,3.014372143987132e+18,8
376,3.014372143987132e+18,100
377,3.014372143987132e+18,199
378,3.014372143987132e+18,200
379,3.0055816515600814e+18,201
380,3.0055816515600814e+18,202
381,3.0055816515600814e+18,190
382,3.0055816515600814e+18,138
383,2.9997825110014454e+18,8
384,2.9997825110014454e+18,203
385,2.9997825110014454e+18,189
386,2.9997825110014454e+18,190
387,2.9997825110014454e+18,204
388,2.9997825110014454e+18,205
389,3.00627849689271e+18,8
390,3.00627849689271e+18,206
391,3.00627849689271e+18,205
392,3.00627849689271e+18,0
393,3.00627849689271e+18,207
394,3.00192745560244e+18,208
395,3.00192745560244e+18,8
396,3.00192745560244e+18,209
397,3.00192745560244e+18,208
398,3.00192745560244e+18,210
399,3.00192745560244e+18,211
400,3.00192745560244e+18,212
401,3.00192745560244e+18,213
402,3.00192745560244e+18,214
403,3.00192745560244e+18,215
404,3.00192745560244e+18,216
405,3.00192745560244e+18,217
406,3.0004778507472835e+18,218
407,3.0004778507472835e+18,219
408,3.0004778507472835e+18,220
409,3.0004778507472835e+18,8
410,3.0004778507472835e+18,221
411,2.998340915136669e+18,222
412,2.998340915136669e+18,223
413,2.998340915136669e+18,138
414,2.998340915136669e+18,8
415,2.998340915136669e+18,224
416,2.998340915136669e+18,225
417,2.998340915136669e+18,226
418,2.998340915136669e+18,227
419,2.998340915136669e+18,25
420,3.0193544368287165e+18,228
421,3.0193544368287165e+18,8
422,3.0193544368287165e+18,13
423,3.0193544368287165e+18,229
424,3.0193544368287165e+18,2
425,3.0193544368287165e+18,82
426,3.0193544368287165e+18,98
427,3.0193544368287165e+18,94
428,3.0193544368287165e+18,230
429,3.0193544368287165e+18,231
430,3.0193544368287165e+18,232
431,3.0193544368287165e+18,233
432,3.004826876741943e+18,52
433,3.004826876741943e+18,53
434,3.004826876741943e+18,51
435,3.0033773172509455e+18,8
436,3.0033773172509455e+18,52
437,3.0033773172509455e+18,53
438,3.0033773172509455e+18,51
439,3.0033773172509455e+18,209
440,2.999099431743838e+18,8
441,2.999099431743838e+18,117
442,2.999099431743838e+18,234
443,2.999099431743838e+18,20
444,2.999099431743838e+18,235
445,2.9976276512080164e+18,51
446,2.9976276512080164e+18,100
447,2.9976276512080164e+18,8
448,2.9976276512080164e+18,117
449,2.9976276512080164e+18,234
450,2.9976276512080164e+18,20
451,2.9976276512080164e+18,235
452,2.9976276512080164e+18,236
453,2.9976276512080164e+18,46
454,2.9976276512080164e+18,4
455,2.9976276512080164e+18,237
456,2.9968986883452206e+18,8
457,2.9968986883452206e+18,238
458,2.9968986883452206e+18,52
459,2.9968986883452206e+18,53
460,2.9968986883452206e+18,51
461,2.9968986883452206e+18,234
462,2.9968986883452206e+18,239
463,2.9794893958415007e+18,240
464,2.9794893958415007e+18,8
465,2.9794893958415007e+18,238
466,2.9794893958415007e+18,52
467,2.9794893958415007e+18,53
468,2.9794893958415007e+18,51
469,2.9794893958415007e+18,241
470,2.9794893958415007e+18,117
471,2.9794893958415007e+18,234
472,2.9794893958415007e+18,242
473,2.9794893958415007e+18,243
474,2.9794893958415007e+18,239
475,2.9941193166430525e+18,8
476,2.9941193166430525e+18,238
477,2.9941193166430525e+18,52
478,2.9941193166430525e+18,53
479,2.9941193166430525e+18,51
480,2.9941193166430525e+18,241
481,2.9941193166430525e+18,117
482,2.9941193166430525e+18,234
483,2.9845476938250327e+18,165
484,2.9845476938250327e+18,244
485,2.9845476938250327e+18,245
486,2.9845476938250327e+18,8
487,2.9845476938250327e+18,238
488,2.9845476938250327e+18,52
489,2.9845476938250327e+18,53
490,2.9845476938250327e+18,51
491,2.9845476938250327e+18,241
492,2.9845476938250327e+18,117
493,2.9845476938250327e+18,234
494,2.9925515299404314e+18,246
495,2.9925515299404314e+18,56
496,2.9925515299404314e+18,247
497,2.9925515299404314e+18,13
498,2.9925515299404314e+18,248
499,2.9925515299404314e+18,0
500,2.9925515299404314e+18,8
501,2.9925515299404314e+18,238
502,2.9925515299404314e+18,52
503,2.9925515299404314e+18,51
504,2.9925515299404314e+18,241
505,2.9925515299404314e+18,117
506,2.9925515299404314e+18,234
507,2.9925515299404314e+18,242
508,2.9925515299404314e+18,243
509,2.9925515299404314e+18,239
510,2.9802142106384717e+18,249
511,2.9802142106384717e+18,8
512,2.9802142106384717e+18,46
