id,type,commentsCount,likesCount,timestamp,videoViewCount,videoPlayCount,videoDuration
3.075854765464166e+18,Sidecar,1.0,17.0,2023-04-07 18:01:40+00:00,,,
3.070078623458052e+18,Image,0.0,17.0,2023-03-30 18:45:16+00:00,,,
3.0787400049486223e+18,Video,0.0,8.0,2023-04-11 17:35:00+00:00,97.0,242.0,5.202
3.073725354955596e+18,Image,1.0,17.0,2023-04-04 19:30:37+00:00,,,
3.06935386837853e+18,Image,1.0,10.0,2023-03-29 18:45:18+00:00,,,
3.0642728956182953e+18,Image,3.0,45.0,2023-03-22 18:30:19+00:00,,,
3.0744054642562074e+18,Image,1.0,16.0,2023-04-05 18:01:55+00:00,,,
3.0729852890316785e+18,Sidecar,1.0,31.0,2023-04-03 19:00:14+00:00,,,
3.068624057100992e+18,Image,2.0,21.0,2023-03-28 18:35:18+00:00,,,
3.0750777407687327e+18,Sidecar,0.0,23.0,2023-04-06 16:17:52+00:00,,,
3.065732963795675e+18,Sidecar,0.0,21.0,2023-03-24 18:51:10+00:00,,,
3.0649294883753124e+18,Image,2.0,12.0,2023-03-23 16:14:48+00:00,,,
3.064197708273725e+18,Image,1.0,16.0,2023-03-22 16:00:56+00:00,,,
3.067944552673209e+18,Image,0.0,10.0,2023-03-27 20:05:14+00:00,,,
3.0605944280628803e+18,Image,0.0,18.0,2023-03-17 16:41:49+00:00,,,
3.06344258199652e+18,Image,0.0,15.0,2023-03-21 15:00:38+00:00,,,
3.062820999272257e+18,Video,2.0,29.0,2023-03-20 18:26:00+00:00,161.0,375.0,25.055
3.0591877011908106e+18,Image,1.0,18.0,2023-03-15 18:06:54+00:00,,,
3.0584394272575124e+18,Sidecar,0.0,38.0,2023-03-14 17:20:13+00:00,,,
3.0606953481512837e+18,Sidecar,0.0,25.0,2023-03-17 20:02:38+00:00,,,
3.0527928693038956e+18,Image,0.0,19.0,2023-03-06 22:21:33+00:00,,,
3.057770985323925e+18,Image,0.0,15.0,2023-03-13 19:12:11+00:00,,,
3.0540811942207386e+18,Image,2.0,18.0,2023-03-08 17:01:13+00:00,,,
3.0490077273518674e+18,Image,0.0,19.0,2023-03-01 17:01:09+00:00,,,
3.049113076121826e+18,Image,0.0,19.0,2023-03-01 20:30:27+00:00,,,
3.038264008495789e+18,Image,1.0,22.0,2023-02-14 21:15:18+00:00,,,
3.044813067347564e+18,Video,4.0,22.0,2023-02-23 22:07:27+00:00,184.0,445.0,18.155
3.048401012914315e+18,Sidecar,2.0,26.0,2023-02-28 20:55:58+00:00,,,
3.0453834912060897e+18,Image,3.0,58.0,2023-02-24 17:00:27+00:00,,,
3.0432770157212723e+18,Image,0.0,15.0,2023-02-21 19:15:15+00:00,,,
3.054805890418774e+18,Image,1.0,18.0,2023-03-09 17:01:04+00:00,,,
3.043994373110653e+18,Image,0.0,20.0,2023-02-22 19:00:31+00:00,,,
3.0375322925669985e+18,Video,0.0,22.0,2023-02-13 21:01:52+00:00,204.0,,13.886
3.025879898988054e+18,Image,0.0,12.0,2023-01-28 19:10:19+00:00,,,
3.0324669383782886e+18,Image,3.0,21.0,2023-02-06 21:17:33+00:00,,,
3.0359613731293865e+18,Image,2.0,21.0,2023-02-11 17:00:22+00:00,,,
3.0222211595337523e+18,Video,0.0,21.0,2023-01-23 18:01:12+00:00,92.0,,9.0
3.0243266415060413e+18,Video,1.0,14.0,2023-01-26 15:46:12+00:00,115.0,250.0,6.293
3.0127987740535675e+18,Image,3.0,23.0,2023-01-10 18:00:25+00:00,,,
3.017148077919987e+18,Image,0.0,7.0,2023-01-16 18:01:42+00:00,,,
3.01787226129824e+18,Image,1.0,5.0,2023-01-17 18:00:33+00:00,,,
3.023729951506133e+18,Video,0.0,17.0,2023-01-25 20:00:22+00:00,170.0,508.0,12.354
3.0077254963811517e+18,Image,0.0,6.0,2023-01-03 18:00:43+00:00,,,
3.0098999695283205e+18,Image,0.0,14.0,2023-01-06 18:01:00+00:00,,,
