title,id,url,viewCount,date,likes,duration,commentsCount
The Knowledge House Interviews with Here & Now 6/20/21,9-K5m8wYBM8,https://www.youtube.com/watch?v=9-K5m8wYBM8,157,2021-06-24,12,9:33,2.0
Meet the Fellows 2021,8Gnszvc0csk,https://www.youtube.com/watch?v=8Gnszvc0csk,78,2021-06-22,3,82:12,0.0
Closing the Digital Divide: Los Angeles,g1PrZEM6-qk,https://www.youtube.com/watch?v=g1PrZEM6-qk,35,2021-06-22,1,57:2,0.0
Closing the Digital Divide: Newark,EKsPemOzjDs,https://www.youtube.com/watch?v=EKsPemOzjDs,17,2021-06-22,1,60:35,0.0
Closing the Digital Divide: Atlanta,TQapqGR4D68,https://www.youtube.com/watch?v=TQapqGR4D68,18,2021-06-22,0,55:35,0.0
"Using Your Influence for Social Good | December 9, 2020",EFWhAS7dDBo,https://www.youtube.com/watch?v=EFWhAS7dDBo,123,2020-12-10,1,58:37,0.0
"Diversifying the Future of Work- October 28, 2020",-Yw3_hpturg,https://www.youtube.com/watch?v=-Yw3_hpturg,120,2020-11-05,6,55:9,0.0
"Empowering People of Color to Thrive in a Post-Pandemic World | October 21, 2020",O7y9RAOXmck,https://www.youtube.com/watch?v=O7y9RAOXmck,391,2020-10-21,6,59:21,0.0
The Knowledge House 2020 Innovation Fellows,gExkEAfkeyc,https://www.youtube.com/watch?v=gExkEAfkeyc,849,2020-10-21,19,1:32,1.0
The Knowledge House 2020 Innovation Fellowship,Nkj03ZbRMVs,https://www.youtube.com/watch?v=Nkj03ZbRMVs,993,2020-03-25,17,1:0,0.0
FALL PROGRAMS TRAILER  2018,L-2C100OOO4,https://www.youtube.com/watch?v=L-2C100OOO4,69,2018-09-19,2,0:53,1.0
INTRO TO TECH 2018,CNULYdaTZRg,https://www.youtube.com/watch?v=CNULYdaTZRg,48,2018-06-15,0,0:55,0.0
BuzzFEED and TKH,TVyJFMp8Q_c,https://www.youtube.com/watch?v=TVyJFMp8Q_c,62,2017-04-11,1,0:25,0.0
TKH Student Profile (David Tagoe ),3lEzgnhsUoY,https://www.youtube.com/watch?v=3lEzgnhsUoY,90,2017-03-06,2,1:7,1.0
TKH Student Profile (Stephon Nixon ),hPeKtH-7pvA,https://www.youtube.com/watch?v=hPeKtH-7pvA,159,2017-03-06,6,1:10,0.0
TKH Promo,rGxWH0d7eUE,https://www.youtube.com/watch?v=rGxWH0d7eUE,106,2017-03-06,0,0:46,0.0
Jerelyn at SXSWedu 2015,BzQB-S_Ze3c,https://www.youtube.com/watch?v=BzQB-S_Ze3c,55,2015-03-27,0,1:56,0.0
TKH IN NEWARK: Building a Tech Workforce in Newark,B3VDvm0EiPQ,https://www.youtube.com/watch?v=B3VDvm0EiPQ,20,2022-07-08,2,,
TKH IN NEWARK: Launch Party!,RJiAR0hhp1A,https://www.youtube.com/watch?v=RJiAR0hhp1A,18,2022-07-06,2,,
A Day in the Life: Cyber Security (FULL SESSION),i6Bn95AGhAo,https://www.youtube.com/watch?v=i6Bn95AGhAo,442,2022-06-27,10,65:38,0.0
A Day in the Life: UXUI & Web Development (FULL SESSION),XQJdziFqAsU,https://www.youtube.com/watch?v=XQJdziFqAsU,683,2022-06-27,17,60:0,0.0
A Day in the Life: Data Science (FULL SESSION),OufVYf4YfSA,https://www.youtube.com/watch?v=OufVYf4YfSA,1155,2022-06-27,12,66:33,0.0
CONGRATS TO OUR 2021-2022 KKCF GRADUATES!,uVwCRFkXlfA,https://www.youtube.com/watch?v=uVwCRFkXlfA,36,2022-06-11,1,,
From Tech User to Tech Creator! Join The Knowledge House Fellowships!,pWzVLrwgXlI,https://www.youtube.com/watch?v=pWzVLrwgXlI,101,2022-05-31,1,1:3,0.0
UNPACKING: Hiring Bias in Technology - Gender Bias and Credentialing in Technology,WtHVIJaeFjc,https://www.youtube.com/watch?v=WtHVIJaeFjc,10,2022-04-20,1,58:6,0.0
Our Story,il66kN0U8eg,https://www.youtube.com/watch?v=il66kN0U8eg,46,2021-09-11,2,1:0,0.0
Bridge to Tech: Digital Communications Pre-Training,8l2MjE2uWY4,https://www.youtube.com/watch?v=8l2MjE2uWY4,117,2019-03-26,2,7:39,0.0
UNPACKING: Hiring Bias in Technology - Racial Bias and Credentialing in Technology,2IYh_aoqIGc,https://www.youtube.com/watch?v=2IYh_aoqIGc,24,2022-03-22,0,54:45,0.0
